fips,state,rpl_themes,e_pop
13231,GEORGIA,0.151,18082
13233,GEORGIA,0.8048,41621
13235,GEORGIA,0.8459,11295
13237,GEORGIA,0.428,21503
13239,GEORGIA,0.9433,2276
13241,GEORGIA,0.5341,16457
13243,GEORGIA,0.9739,7087
13245,GEORGIA,0.9328,201463
13247,GEORGIA,0.5529,89011
13249,GEORGIA,0.8248,5211
13251,GEORGIA,0.8525,13990
13253,GEORGIA,0.8344,8437
13255,GEORGIA,0.8691,64719
13257,GEORGIA,0.7968,25676
13259,GEORGIA,0.9245,6042
13261,GEORGIA,0.9764,30352
13263,GEORGIA,0.8589,6378
13265,GEORGIA,0.9089,1665
13267,GEORGIA,0.908,25353
13269,GEORGIA,0.9197,8193
13271,GEORGIA,0.8369,16115
13273,GEORGIA,0.957,8859
13275,GEORGIA,0.9108,44730
13277,GEORGIA,0.8809,40510
13279,GEORGIA,0.9761,27048
13281,GEORGIA,0.3258,11417
13283,GEORGIA,0.9471,6777
13285,GEORGIA,0.9013,69774
13287,GEORGIA,0.9809,7962
13289,GEORGIA,0.758,8284
13291,GEORGIA,0.3115,22775
13293,GEORGIA,0.8532,26216
13295,GEORGIA,0.6408,68824
13297,GEORGIA,0.293,90132
13299,GEORGIA,0.8449,35599
13301,GEORGIA,0.8946,5346
13303,GEORGIA,0.9462,20461
13305,GEORGIA,0.9166,29767
13307,GEORGIA,0.7876,2613
13309,GEORGIA,0.8124,7939
13311,GEORGIA,0.2357,28928
13313,GEORGIA,0.8793,103849
13315,GEORGIA,0.8169,8846
13317,GEORGIA,0.7561,9884
13319,GEORGIA,0.7873,9078
13321,GEORGIA,0.7357,20656
15001,HAWAII,0.5771,197658
15003,HAWAII,0.472,987638
15005,HAWAII,0.3162,75
15007,HAWAII,0.3099,71377
15009,HAWAII,0.3879,165281
16001,IDAHO,0.1373,446052
16003,IDAHO,0.2936,4019
16005,IDAHO,0.579,85065
16007,IDAHO,0.2143,5962
16009,IDAHO,0.7334,9086
16011,IDAHO,0.507,45551
16013,IDAHO,0.3239,21994
16015,IDAHO,0.0672,7163
16017,IDAHO,0.2401,42711
16019,IDAHO,0.3634,112397
16021,IDAHO,0.3083,11549
16023,IDAHO,0.2462,2602
16025,IDAHO,0.1338,886
16027,IDAHO,0.7366,212230
16029,IDAHO,0.1917,6918
16031,IDAHO,0.6732,23615
16033,IDAHO,0.8911,1077
16035,IDAHO,0.4401,8640
16037,IDAHO,0.4369,4141
16039,IDAHO,0.5882,26433
16041,IDAHO,0.1414,13279
16043,IDAHO,0.5137,12965
16045,IDAHO,0.6627,17052
16047,IDAHO,0.7076,15169
16049,IDAHO,0.5392,16337
16051,IDAHO,0.2525,27969
16053,IDAHO,0.6736,23431
16055,IDAHO,0.2328,153605
16057,IDAHO,0.2484,39239
16059,IDAHO,0.2997,7798
16061,IDAHO,0.5678,3845
16063,IDAHO,0.5576,5321
16065,IDAHO,0.4029,38705
16067,IDAHO,0.6783,20615
16069,IDAHO,0.5067,40155
16071,IDAHO,0.3424,4326
16073,IDAHO,0.8245,11455
16075,IDAHO,0.601,23041
16077,IDAHO,0.5162,7713
16079,IDAHO,0.757,12526
16081,IDAHO,0.1344,11080
16083,IDAHO,0.4955,83666
16085,IDAHO,0.0882,10401
16087,IDAHO,0.8506,10025
17001,ILLINOIS,0.249,66427
17003,ILLINOIS,0.9573,6532
17005,ILLINOIS,0.3732,16712
17007,ILLINOIS,0.4697,53606
17009,ILLINOIS,0.4745,6675
17011,ILLINOIS,0.2863,33381
17013,ILLINOIS,0.1901,4858
17015,ILLINOIS,0.1682,14562
17017,ILLINOIS,0.6971,12665
17019,ILLINOIS,0.499,209448
17021,ILLINOIS,0.2408,33231
17023,ILLINOIS,0.2073,15836
17025,ILLINOIS,0.6115,13338
17027,ILLINOIS,0.1787,37628
17029,ILLINOIS,0.4978,51736
17031,ILLINOIS,0.6755,5223719
17033,ILLINOIS,0.3838,19088
17035,ILLINOIS,0.1627,10865
17037,ILLINOIS,0.4866,104200
17039,ILLINOIS,0.129,16042
17041,ILLINOIS,0.4439,19714
17043,ILLINOIS,0.1611,931743
17045,ILLINOIS,0.3433,17539
17047,ILLINOIS,0.2443,6507
17049,ILLINOIS,0.199,34174
17051,ILLINOIS,0.5949,21724
17053,ILLINOIS,0.3051,13398
17055,ILLINOIS,0.6092,39127
17057,ILLINOIS,0.5761,35418
17059,ILLINOIS,0.4538,5157
17061,ILLINOIS,0.1952,13218
17063,ILLINOIS,0.0844,50509
17065,ILLINOIS,0.1529,8221
17067,ILLINOIS,0.1232,18112
17069,ILLINOIS,0.5019,4009
17071,ILLINOIS,0.0669,6884
17073,ILLINOIS,0.201,49464
17075,ILLINOIS,0.3404,28169
17077,ILLINOIS,0.7045,58551
17079,ILLINOIS,0.2417,9598
17081,ILLINOIS,0.8108,38169
17083,ILLINOIS,0.1041,22069
17085,ILLINOIS,0.0525,21834
17087,ILLINOIS,0.4624,12602
17089,ILLINOIS,0.4169,530839
17091,ILLINOIS,0.6656,111061
17093,ILLINOIS,0.1398,124626
